player_id,evaluation_period,position_group,observation_context,observed_sessions,data_source,technical_first_touch,technical_passing,technical_receiving_orientation,technical_ball_control,technical_dribbling,tactical_positioning,tactical_scanning,tactical_decision_making,tactical_support,tactical_transition_response,physical_acceleration,physical_change_of_direction,physical_repeat_effort,behaviour_communication,behaviour_concentration,behaviour_training_engagement,behaviour_response_to_feedback
Player_01,P1,Defender,Mixed,5,synthetic,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0
Player_01,P2,Forward,Mixed,7,synthetic,2.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0
Player_01,P3,Forward,Match,2,synthetic,3.0,,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,4.0,,,,2.0,2.0,
Player_02,P1,Midfielder,Mixed,8,synthetic,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0
Player_02,P2,Midfielder,Mixed,8,synthetic,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0
Player_02,P3,Midfielder,Mixed,7,synthetic,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0
Player_03,P1,Forward,Mixed,5,synthetic,3.0,3.0,,3.0,3.0,3.0,,3.0,4.0,3.0,3.0,3.0,3.0,,4.0,4.0,4.0
Player_03,P2,Forward,Mixed,4,synthetic,3.0,3.0,3.0,3.0,4.0,,4.0,3.0,,3.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0
Player_03,P3,Forward,Mixed,5,synthetic,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,4.0,4.0,4.0
Player_04,P1,Defender,Training,3,synthetic,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,,4.0
Player_04,P2,Defender,Mixed,6,synthetic,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0
Player_04,P3,Defender,Mixed,2,synthetic,,,3.0,4.0,4.0,,4.0,3.0,3.0,3.0,,3.0,3.0,4.0,3.0,4.0,3.0
Player_05,P1,Midfielder,Training,2,synthetic,3.0,,3.0,3.0,,2.0,3.0,,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0
Player_05,P2,Midfielder,Mixed,5,synthetic,2.0,2.0,,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,,2.0,3.0,3.0,3.0,
Player_05,P3,Midfielder,Training,7,synthetic,2.0,,3.0,2.0,2.0,3.0,3.0,2.0,3.0,,2.0,2.0,2.0,2.0,2.0,1.0,1.0
Player_06,P1,Forward,Mixed,6,synthetic,1.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0
Player_06,P2,Forward,Mixed,4,synthetic,3.0,2.0,2.0,,3.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0
Player_06,P3,Forward,Match,7,synthetic,3.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Player_07,P1,Defender,Training,4,synthetic,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,
Player_07,P2,Defender,Training,7,synthetic,3.0,3.0,4.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0
Player_07,P3,Defender,Match,2,synthetic,,,3.0,3.0,4.0,2.0,2.0,,3.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,
Player_08,P1,Midfielder,Mixed,6,synthetic,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,,3.0,3.0
Player_08,P2,Midfielder,Training,8,synthetic,2.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Player_08,P3,Midfielder,Match,8,synthetic,3.0,2.0,3.0,3.0,3.0,3.0,,3.0,,4.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0
Player_09,P1,Forward,Training,7,synthetic,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,,2.0,3.0,3.0
Player_09,P2,Forward,Training,3,synthetic,2.0,3.0,,,3.0,4.0,5.0,4.0,,5.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0
Player_09,P3,Forward,Training,4,synthetic,2.0,,,1.0,3.0,4.0,4.0,,4.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,
Player_10,P1,Defender,Match,2,synthetic,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,
Player_10,P2,Forward,Mixed,8,synthetic,,1.0,2.0,,1.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0
Player_10,P3,Midfielder,Mixed,8,synthetic,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0
Player_11,P1,Midfielder,Match,7,synthetic,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0
Player_11,P2,Midfielder,Match,8,synthetic,4.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0
Player_11,P3,Midfielder,Mixed,4,synthetic,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,,4.0,3.0,4.0,3.0,,3.0
Player_12,P1,Forward,Mixed,8,synthetic,4.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0
Player_12,P2,Forward,Training,4,synthetic,3.0,,3.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0
Player_12,P3,Forward,Training,7,synthetic,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0
Player_13,P1,Defender,Mixed,2,synthetic,2.0,3.0,2.0,3.0,3.0,3.0,,2.0,,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0
Player_13,P2,Defender,Training,3,synthetic,3.0,,2.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,,2.0
Player_13,P3,Defender,Mixed,8,synthetic,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0
Player_14,P1,Midfielder,Mixed,2,synthetic,3.0,4.0,3.0,4.0,3.0,3.0,4.0,,3.0,,4.0,,4.0,3.0,4.0,4.0,3.0
Player_14,P2,Midfielder,Mixed,3,synthetic,2.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,,,,5.0,3.0,4.0,4.0,4.0
Player_14,P3,Midfielder,Match,4,synthetic,3.0,3.0,4.0,3.0,3.0,,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,,3.0,
