player_id,latest_evaluation_period,position_group,observation_context,observed_sessions,observed_attribute_count,observation_coverage_pct,peer_group_n_excluding_player,technical_median,tactical_median,physical_observation_median,behavioural_observation_median,technical_first_touch_peer_median,technical_passing_peer_median,technical_receiving_orientation_peer_median,technical_ball_control_peer_median,technical_dribbling_peer_median,tactical_positioning_peer_median,tactical_scanning_peer_median,tactical_decision_making_peer_median,tactical_support_peer_median,tactical_transition_response_peer_median,physical_acceleration_peer_median,physical_change_of_direction_peer_median,physical_repeat_effort_peer_median,behaviour_communication_peer_median,behaviour_concentration_peer_median,behaviour_training_engagement_peer_median,behaviour_response_to_feedback_peer_median
Player_01,P3,Forward,Match,2,11,64.7,10,3.0,3.0,,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Player_02,P3,Midfielder,Mixed,7,17,100.0,6,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Player_03,P3,Forward,Mixed,5,15,88.2,10,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Player_04,P3,Defender,Mixed,2,13,76.5,5,4.0,3.0,3.0,3.5,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.5,3.0,3.0,3.5,3.0,3.0,3.5
Player_05,P3,Midfielder,Training,7,15,88.2,6,2.0,3.0,2.0,1.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Player_06,P3,Forward,Match,7,17,100.0,10,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Player_07,P3,Defender,Match,2,13,76.5,5,3.0,2.5,2.0,3.0,3.0,3.0,3.0,3.0,4.0,2.5,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0
Player_08,P3,Midfielder,Match,8,15,88.2,6,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5,2.5,3.0,3.0,3.0,3.0,2.5,3.0,2.0,3.0
Player_09,P3,Forward,Training,4,13,76.5,10,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Player_10,P3,Midfielder,Mixed,8,17,100.0,6,2.0,3.0,3.0,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Player_11,P3,Midfielder,Mixed,4,15,88.2,6,3.0,3.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5,2.0,3.0,3.0,3.0,3.0,2.5,3.0,2.5,3.0
Player_12,P3,Forward,Training,7,17,100.0,10,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Player_13,P3,Defender,Mixed,8,17,100.0,5,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.5,3.0,3.0,3.5
Player_14,P3,Midfielder,Match,4,14,82.4,6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5,2.0,3.0,3.0,3.0,3.0,2.5,3.0,2.0,3.0
Player_15,P3,Forward,Match,7,17,100.0,10,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Player_16,P3,Forward,Mixed,7,17,100.0,10,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Player_17,P3,Defender,Training,3,17,100.0,5,4.0,3.0,4.0,3.5,3.0,3.0,3.0,3.0,4.0,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0
Player_18,P3,Forward,Mixed,7,17,100.0,10,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Player_19,P3,Defender,Mixed,7,16,94.1,5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0
Player_20,P3,Forward,Training,7,15,88.2,10,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Player_21,P3,Forward,Match,2,13,76.5,10,2.0,3.0,2.5,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Player_22,P3,Defender,Mixed,3,13,76.5,5,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.5,3.0,3.0,3.0,3.0,3.5,3.0,3.0,4.0,3.0,3.0,3.5
Player_23,P3,Midfielder,Match,4,17,100.0,6,4.0,2.0,4.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5,3.0,2.0,3.0
Player_24,P3,Forward,Match,5,16,94.1,10,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
